POS Position,Name,Team,Position,P Played,G 7M goals,% 7M Shooting accuracy,G Full back - Goals,% Full back - Shooting accuracy,T Centre back - Goals,% Centre back - Shooting accuracy,G Wing - Goals,% Wing - Shooting accuracy,G Pivot - Goals,% Pivot - Shooting accuracy,G Fast breaks - Goals,% Fast breaks - Shooting accuracy
135,Szucs Csaba,BHC,LB,32,-,-,12,70.59%,4,50.00%,-,-,1,100.00%,1,100.00%
136,Weinhold Steffen,THW,RB,37,-,-,34,85.00%,28,56.00%,-,-,-,-,3,75.00%
137,Wiencek Patrick,THW,P,32,-,-,13,65.00%,1,100.00%,-,-,54,78.26%,12,80.00%
141,Meschke Benjamin,HCE,P,12,-,-,-,-,-,-,-,-,5,83.33%,-,-
143,Klimek Christian,LUD,P,31,-,-,1,50.00%,-,-,-,-,48,84.21%,1,50.00%
144,Szczesny Dennis,TUE,LB,33,-,-,22,78.57%,21,43.75%,-,-,7,77.78%,2,66.67%
145,Bozic Vladimir,HBW,GK,21,-,-,-,-,-,-,-,-,-,-,-,-
146,Voigt Malte,THW,LW,25,-,-,6,85.71%,-,-,4,40.00%,-,-,4,80.00%
148,Ritschel Matthias,HCE,GK,2,-,-,-,-,-,-,-,-,-,-,-,-
150,Lex Stefan,HCE,RB,7,-,-,-,-,1,25.00%,-,-,-,-,-,-
152,Patrail Mait,RNL,LB,38,-,-,15,75.00%,10,45.45%,-,-,5,83.33%,3,75.00%
153,Musche Matthias,SCM,LW,7,-,-,1,50.00%,-,-,14,63.64%,4,100.00%,2,50.00%
154,Pekeler Hendrik,THW,P,37,-,-,17,77.27%,2,50.00%,-,-,77,87.50%,13,92.86%
155,Foth Christoph,HBW,P,3,-,-,-,-,-,-,-,-,2,100.00%,-,-
156,Possehl Julian,NOL,RB,38,-,-,19,65.52%,14,40.00%,1,33.33%,4,100.00%,3,100.00%
157,Niemeyer Marcel,HBW,P,12,-,-,2,40.00%,-,-,1,50.00%,27,65.85%,1,100.00%
158,Lemke Finn,MTM,LB,33,-,-,-,-,2,40.00%,-,-,1,50.00%,7,70.00%
160,Kulhanek Jan,COB,GK,37,-,-,-,-,-,-,-,-,-,-,-,-
161,Bliss Sebastian,TUE,GK,38,-,-,-,-,-,-,-,-,-,-,-,-
162,Pieczkowski Niclas,LEI,CB,23,-,-,15,57.69%,20,43.48%,-,-,2,50.00%,3,75.00%
163,Kuhn Julius,MTM,LB,38,-,-,58,66.67%,128,58.18%,2,100.00%,3,50.00%,8,72.73%
164,Theilinger Nicolai,FAG,RB,30,-,-,18,75.00%,2,28.57%,-,-,-,-,2,100.00%
165,Budel Nico,HCE,CB,26,-,-,14,60.87%,13,40.63%,-,-,2,100.00%,4,80.00%
166,Schroder Andreas,COB,LB,33,-,-,53,67.09%,47,43.12%,-,-,-,-,4,80.00%
167,Rebmann Daniel,FAG,GK,38,-,-,-,-,-,-,-,-,-,-,-,-
168,Torbrugge Nils,NOL,P,28,-,-,2,66.67%,-,-,-,-,12,66.67%,1,100.00%
169,Appelgren Mikael,RNL,GK,1,-,-,-,-,-,-,-,-,-,-,-,-
170,Guardiola Gedeon,TBV,P,38,-,-,3,33.33%,2,66.67%,-,-,52,80.00%,14,77.78%
171,Landin Niklas,THW,GK,31,-,-,-,-,-,-,-,-,-,-,-,-
172,Zieker Patrick,TVB,LW,36,-,-,10,76.92%,5,83.33%,61,66.30%,3,42.86%,32,82.05%
173,Fontaine Daniel,BHC,LB,12,-,-,-,-,-,-,-,-,-,-,1,100.00%
174,Ritterbach Joscha,GWD,LW,37,-,-,4,57.14%,1,100.00%,24,80.00%,4,57.14%,12,80.00%
175,Drux Paul,BER,LB,32,-,-,45,86.54%,24,53.33%,-,-,-,-,-,-
176,Ellwanger Jonas,TUE,CB,12,-,-,9,60.00%,7,50.00%,-,-,-,-,-,-
177,Prost Primoz,TVB,GK,38,-,-,-,-,-,-,-,-,-,-,-,-
178,Rudeck Christopher,BHC,GK,38,-,-,-,-,-,-,-,-,-,-,-,-
179,Schmidt David,BHC,RB,35,-,-,62,66.67%,62,53.91%,-,-,-,-,-,-
180,Schoch Jona,HBW,LB,34,-,-,41,73.21%,65,50.00%,-,-,-,-,1,100.00%
181,Nenadic Drasko,COB,LB,34,-,-,13,52.00%,14,42.42%,1,33.33%,2,100.00%,2,100.00%
182,Dahmke Rune,THW,LW,37,-,-,13,81.25%,-,-,44,72.13%,2,66.67%,23,88.46%
185,Nielsen Jesper,RNL,P,22,-,-,-,-,-,-,-,-,3,60.00%,-,-
186,Koch Johan,BER,P,35,-,-,3,50.00%,-,-,-,-,33,78.57%,6,66.67%
187,Kunkel Yves,MTM,LW,35,-,-,10,76.92%,1,33.33%,30,54.55%,5,62.50%,24,72.73%
188,Janke Maximilian,GWD,CB,26,-,-,4,100.00%,-,-,-,-,-,-,2,100.00%
189,Bezjak Marko,SCM,CB,36,-,-,51,77.27%,6,42.86%,-,-,3,50.00%,10,100.00%
190,Suton Tim,TBV,CB,11,-,-,8,44.44%,25,55.56%,-,-,2,100.00%,6,100.00%
191,Wiederstein Fabian,HBW,P,31,-,-,3,42.86%,-,-,-,-,41,70.69%,5,100.00%
193,Gebala Maciej,LEI,P,37,-,-,-,-,-,-,-,-,93,84.55%,1,100.00%
194,Hermann Till,FAG,LW,38,-,-,2,50.00%,-,-,15,83.33%,1,100.00%,7,77.78%
195,Rentschler Marco,FAG,RW,18,-,-,3,60.00%,4,100.00%,11,73.33%,-,-,2,40.00%
196,Scholz Jonathan,LUD,LW,30,-,-,2,66.67%,-,-,23,74.19%,4,57.14%,10,90.91%
197,Feld Alexander,WET,CB,22,-,-,2,40.00%,7,58.33%,-,-,-,-,3,100.00%
198,Preuss Moritz,SCM,P,38,-,-,3,50.00%,-,-,-,-,36,76.60%,-,-
199,Maric Marino,MTM,P,38,-,-,5,50.00%,-,-,-,-,62,82.67%,2,66.67%
200,Ernst Simon,BER,CB,38,-,-,7,87.50%,7,41.18%,-,-,-,-,3,100.00%
201,Mensah Larsen Mads,SGF,CB,37,-,-,39,66.10%,79,58.96%,-,-,-,-,-,-
202,Reinkind Harald,THW,RB,38,-,-,44,75.86%,85,59.86%,-,-,-,-,2,66.67%
203,Bagersted Jacob,FAG,P,38,-,-,5,55.56%,2,66.67%,-,-,32,71.11%,5,83.33%
204,Green Jannick,SCM,GK,35,-,-,-,-,-,-,-,-,-,-,-,-
207,Lipovina Vladan,HBW,RB,36,-,-,40,70.18%,113,52.07%,-,-,-,-,6,66.67%
208,Skof Gorazd,LUD,GK,38,-,-,-,-,-,-,-,-,-,-,-,-
209,Mirkulovski Filip,WET,CB,35,-,-,16,72.73%,7,50.00%,-,-,3,100.00%,2,100.00%
210,Musa Zeljko,SCM,P,38,-,-,4,80.00%,-,-,-,-,43,71.67%,4,100.00%
211,Remke Gregor,LEI,RB,36,-,-,33,64.71%,29,41.43%,-,-,1,50.00%,3,100.00%
212,Binder Lukas,LEI,LW,37,-,-,8,72.73%,-,-,63,67.02%,10,58.82%,56,82.35%
213,Roscheck Bastian,LEI,P,30,-,-,-,-,-,-,-,-,-,-,2,66.67%
214,Milosevic Alen,LEI,P,34,-,-,2,40.00%,-,-,-,-,40,75.47%,1,100.00%
215,Semper Franz,SGF,RB,8,-,-,8,72.73%,12,54.55%,-,-,-,-,-,-
216,Firnhaber Sebastian,HCE,P,38,-,-,6,42.86%,1,14.29%,-,-,112,77.24%,12,85.71%
217,Gempp Patrick,WET,P,38,-,-,1,100.00%,-,-,-,-,31,75.61%,1,100.00%
218,Poltrum Konstantin,COB,GK,36,-,-,1,100.00%,-,-,-,-,-,-,-,-
219,Heymann Sebastian,FAG,LB,37,-,-,73,75.26%,56,55.45%,-,-,2,100.00%,12,85.71%
220,Salger Stefan,MTM,RB,38,-,-,11,78.57%,14,43.75%,-,-,-,-,-,-
221,Pfattheicher Sascha,TVB,RW,38,-,-,4,50.00%,1,50.00%,30,45.45%,-,-,41,87.23%
222,Johannsson Ragnar,BHC,RB,10,-,-,2,66.67%,-,-,-,-,-,-,-,-
223,Mappes Dominik,LUD,CB,33,-,-,50,76.92%,36,51.43%,-,-,3,100.00%,10,100.00%
224,Hofmann Jannik,LUD,LW,5,-,-,-,-,-,-,-,-,-,-,-,-
225,Falk Alexander,LUD,RW,28,-,-,5,50.00%,-,-,22,59.46%,5,62.50%,13,72.22%
226,Honicke Jonas,LEI,CB,2,-,-,-,-,-,-,-,-,-,-,-,-
227,Zintel Bjorn,HBW,CB,32,-,-,19,59.38%,21,56.76%,-,-,-,-,-,-
228,Zechel Tim,TUE,P,38,-,-,3,20.00%,2,40.00%,-,-,116,73.89%,2,100.00%
232,Buhrmester Bjorn,NOL,GK,38,-,-,-,-,-,-,-,-,-,-,-,-
233,Kelm Dominic,COB,P,26,-,-,-,-,-,-,-,-,20,76.92%,-,-
234,Schaffer Jan,HCE,P,38,-,-,1,33.33%,1,50.00%,-,-,24,85.71%,4,80.00%
235,Weiss Dominik,TVB,LB,38,-,-,23,69.70%,61,48.80%,-,-,1,100.00%,2,66.67%
236,Terwolbeck Alexander,NOL,CB,38,-,-,30,66.67%,16,61.54%,-,-,1,50.00%,-,-
237,de Boer Luca,NOL,P,29,-,-,2,16.67%,1,50.00%,-,-,33,68.75%,1,100.00%
238,Miedema Patrick,NOL,CB,36,-,-,43,69.35%,11,37.93%,-,-,3,75.00%,-,-
239,Kohlbacher Jannik,RNL,P,31,-,-,4,80.00%,-,-,-,-,125,80.65%,3,75.00%
240,Damm Sebastian,BHC,LW,31,-,-,6,85.71%,-,-,8,53.33%,-,-,7,87.50%
241,Metzner Antonio,HCE,RB,21,-,-,31,73.81%,43,48.86%,-,-,2,100.00%,2,66.67%
242,Kirveliavicius Romas,HBW,LB,38,-,-,4,80.00%,5,71.43%,-,-,-,-,4,80.00%
243,Seidel Malte,TUE,LB,37,-,-,1,33.33%,1,50.00%,-,-,3,100.00%,1,100.00%
244,Gojun Jakov,BER,LB,34,-,-,2,66.67%,-,-,-,-,3,60.00%,10,90.91%
245,Genz Fredrik,BER,GK,38,-,-,-,-,-,-,-,-,-,-,1,100.00%
246,Mertens Lukas,SCM,LW,38,-,-,11,64.71%,2,50.00%,81,71.05%,6,85.71%,46,90.20%
247,Brozovic Ilija,HAN,P,36,-,-,4,80.00%,2,28.57%,-,-,80,84.21%,4,80.00%
248,Baena Gonzalez Rafael,RNL,P,11,-,-,1,50.00%,-,-,-,-,6,85.71%,-,-
249,Valiullin Azat,LUD,LB,37,-,-,38,59.38%,45,40.18%,-,-,-,-,8,88.89%
250,Damgaard Michael,SCM,LB,35,-,-,77,75.49%,53,50.00%,-,-,1,50.00%,2,100.00%
251,Golla Johannes,SGF,P,32,-,-,11,64.71%,3,30.00%,-,-,112,80.58%,14,93.33%
252,Bissel Christopher,HCE,LW,38,-,-,5,71.43%,1,25.00%,45,63.38%,5,100.00%,36,85.71%
253,Majdzinski Maciej,BHC,RB,15,-,-,10,62.50%,17,60.71%,-,-,-,-,-,-
254,Muller Jerome,TVB,RB,35,-,-,55,73.33%,28,44.44%,-,-,-,-,8,80.00%
255,Cavor Stefan,WET,RB,24,-,-,52,77.61%,62,56.88%,1,100.00%,1,100.00%,4,100.00%
256,Faluvegi Rudolf,TVB,LB,16,-,-,8,100.00%,11,42.31%,-,-,-,-,2,66.67%
257,Guardiola Isaias,TBV,RB,37,-,-,23,58.97%,21,41.18%,-,-,2,50.00%,12,92.31%
258,Kopljar Marko,BER,RB,35,-,-,17,70.83%,23,74.19%,-,-,-,-,4,100.00%
259,Mamic Marko,LEI,LB,35,-,-,29,65.91%,31,52.54%,-,-,2,66.67%,4,80.00%
261,Darj Max,BHC,P,36,-,-,5,62.50%,3,100.00%,-,-,108,80.00%,10,83.33%
262,Pettersson Daniel,SCM,RW,38,-,-,9,64.29%,-,-,53,70.67%,3,75.00%,15,93.75%
263,Lonn Adam,TVB,LB,34,-,-,33,62.26%,81,53.29%,1,100.00%,-,-,7,100.00%
264,Lagergren Albin,RNL,RB,32,-,-,54,68.35%,21,51.22%,1,33.33%,2,66.67%,12,70.59%
265,Simic Nebojsa,MTM,GK,38,-,-,-,-,-,-,-,-,-,-,-,-
266,Cederholm Andreas,TBV,RB,27,-,-,47,59.49%,41,45.05%,-,-,-,-,8,100.00%
267,O'Sullivan Christian,SCM,CB,37,-,-,60,66.67%,43,58.11%,-,-,1,100.00%,8,80.00%
268,Lindskog Anton,WET,P,36,-,-,4,44.44%,2,66.67%,-,-,109,81.34%,19,95.00%
269,Johannesson Peter,TBV,GK,38,-,-,-,-,-,-,-,-,-,-,1,50.00%
270,Forsell Schefvert Olle,WET,LB,24,-,-,37,80.43%,15,41.67%,1,50.00%,8,66.67%,3,75.00%
271,Carlsbogard Jonathan,TBV,LB,29,-,-,42,71.19%,55,51.40%,-,-,1,100.00%,8,80.00%
272,Jonsson Alfred,HAN,LB,28,-,-,49,74.24%,32,56.14%,2,66.67%,-,-,3,60.00%
273,Thulin Tobias Alexander Gustav,SCM,GK,38,-,-,-,-,-,-,-,-,-,-,-,-
274,Nilsson Lukas,RNL,LB,37,-,-,55,69.62%,35,43.21%,-,-,2,100.00%,1,100.00%
275,Morante Maldonado Eloy,TUE,CB,37,-,-,57,74.03%,20,55.56%,-,-,-,-,4,100.00%
276,Stutzke Lukas,BHC,LB,37,-,-,29,61.70%,29,52.73%,-,-,-,-,3,100.00%
277,Jaeger Max,HCE,LW,26,-,-,1,50.00%,-,-,16,72.73%,1,100.00%,6,66.67%
278,Birlehm Joel,LEI,GK,38,-,-,-,-,-,-,-,-,-,-,-,-
279,Michalczik Marian,BER,LB,33,-,-,16,88.89%,21,48.84%,-,-,1,50.00%,4,100.00%
280,Zelenovic Nemanja,FAG,RB,38,-,-,61,73.49%,51,49.04%,-,-,3,100.00%,9,75.00%
281,Staar Max,GWD,RW,32,-,-,1,33.33%,1,100.00%,22,70.97%,2,100.00%,8,66.67%
282,Wieling Tim,TVB,RW,35,-,-,1,33.33%,-,-,17,62.96%,1,50.00%,1,100.00%
284,Klimpke Till,WET,GK,34,-,-,-,-,-,-,-,-,-,-,3,100.00%
