POS Position,Name,Team,Position,P Played,G 7M goals,% 7M Shooting accuracy,G Full back - Goals,% Full back - Shooting accuracy,T Centre back - Goals,% Centre back - Shooting accuracy,G Wing - Goals,% Wing - Shooting accuracy,G Pivot - Goals,% Pivot - Shooting accuracy,G Fast breaks - Goals,% Fast breaks - Shooting accuracy
1,Magnusson Omar Ingi,SCM,RB,38,134,80.72%,89,75.42%,41,43.62%,-,-,1,100.00%,6,85.71%
2,Schiller Marcel,FAG,LW,38,120,72.29%,11,64.71%,2,40.00%,73,62.39%,11,84.62%,50,89.29%
3,Weber Robert,NOL,RW,38,115,77.70%,5,71.43%,4,33.33%,74,58.73%,1,50.00%,24,82.76%
4,Lindberg Hans,BER,RW,34,111,82.84%,11,68.75%,2,40.00%,45,65.22%,4,100.00%,22,91.67%
5,Krzikalla Lucas,LEI,RW,38,99,76.74%,4,40.00%,-,-,31,64.58%,6,85.71%,15,88.24%
6,Ekberg Niclas,THW,RW,33,98,74.24%,17,80.95%,-,-,35,66.04%,11,91.67%,41,95.35%
7,Elisson Bjarki Mar,TBV,LW,37,95,78.51%,5,55.56%,1,50.00%,68,62.39%,11,68.75%,72,90.00%
8,Beyer Noah,TUE,LW,34,93,75.61%,6,50.00%,1,25.00%,53,67.09%,2,100.00%,39,79.59%
9,Wanne Hampus,SGF,LW,36,91,76.47%,4,50.00%,4,50.00%,77,63.11%,11,78.57%,42,85.71%
10,Kristjansson Viggo,TVB,RB,38,88,81.48%,47,67.14%,69,49.29%,3,60.00%,4,100.00%,13,92.86%
11,Holst Maximilian,WET,LW,34,86,76.11%,5,100.00%,1,100.00%,18,50.00%,4,66.67%,16,94.12%
12,Gretarsson Oddur,HBW,LW,35,81,78.64%,5,83.33%,-,-,26,68.42%,1,50.00%,5,71.43%
13,Gensheimer Uwe,RNL,LW,30,69,82.14%,11,84.62%,2,40.00%,40,56.34%,3,100.00%,38,82.61%
14,Gunnarsson Arnor Thor,BHC,RW,31,64,76.19%,4,66.67%,-,-,31,57.41%,7,87.50%,7,77.78%
15,Grozdanic Milos,COB,LW,29,53,72.60%,6,54.55%,1,33.33%,28,52.83%,1,33.33%,12,75.00%
16,Reichmann Tobias,MTM,RW,32,52,72.22%,3,75.00%,3,75.00%,12,63.16%,3,100.00%,9,75.00%
17,Durak Pascal,LUD,RW,31,52,72.22%,1,20.00%,1,100.00%,23,50.00%,5,83.33%,9,64.29%
18,Martinovic Ivan,HAN,RB,34,52,85.25%,54,60.00%,43,49.43%,1,100.00%,-,-,1,25.00%
19,Hansen Johan,HAN,RW,36,49,75.38%,7,100.00%,-,-,61,59.22%,3,100.00%,19,95.00%
20,Billek Florian,COB,RW,38,46,69.70%,23,76.67%,12,41.38%,58,76.32%,5,71.43%,51,79.69%
21,Ivic Sime,HCE,RB,20,40,83.33%,21,80.77%,29,44.62%,-,-,-,-,5,100.00%
22,Kastening Timo,MTM,RW,38,35,74.47%,13,86.67%,2,100.00%,82,69.49%,11,91.67%,48,85.71%
23,von Gruchalla Florian,HCE,RW,33,33,63.46%,3,50.00%,1,100.00%,7,43.75%,-,-,2,50.00%
24,Knorr Juri,GWD,CB,35,31,70.45%,63,63.64%,39,41.94%,-,-,5,83.33%,19,86.36%
25,Klingler Felix,TUE,RW,37,28,68.29%,7,63.64%,1,33.33%,32,71.11%,2,66.67%,13,81.25%
26,Schmid Andy,RNL,CB,38,27,72.97%,67,63.81%,59,50.00%,-,-,6,85.71%,8,80.00%
27,Thomann Gregor,HBW,RW,32,24,75.00%,1,100.00%,-,-,30,68.18%,3,100.00%,7,70.00%
28,Korte Mats,GWD,LW,38,24,63.16%,2,40.00%,-,-,28,75.68%,5,62.50%,13,81.25%
29,Sagosen Sander,THW,CB,34,20,80.00%,56,70.00%,81,52.94%,1,100.00%,1,50.00%,9,100.00%
30,Sellin Johannes,HCE,RW,32,18,72.00%,2,50.00%,-,-,18,56.25%,2,100.00%,26,83.87%
31,Jeppsson Simon,HCE,LB,33,18,90.00%,28,66.67%,122,58.65%,2,100.00%,3,100.00%,3,60.00%
32,Boomhouwer Jeffrey,BHC,LW,38,17,62.96%,14,77.78%,2,100.00%,37,59.68%,2,66.67%,22,68.75%
33,Gulliksen Kevin,GWD,RW,38,17,58.62%,8,57.14%,1,50.00%,44,61.11%,7,87.50%,62,77.50%
34,Neuhaus Max,LUD,CB,38,17,68.00%,28,71.79%,17,62.96%,-,-,-,-,1,100.00%
35,Tollbring Jerry,RNL,LW,36,16,76.19%,4,57.14%,3,50.00%,52,71.23%,5,100.00%,26,86.67%
36,Gottfridsson Jim,SGF,CB,38,15,71.43%,89,80.18%,58,68.24%,-,-,2,66.67%,11,100.00%
37,Wernig Daniel,LUD,RW,9,14,77.78%,-,-,-,-,4,36.36%,-,-,1,50.00%
38,Vujovic Milos,BER,LW,21,14,82.35%,7,46.67%,1,50.00%,23,69.70%,-,-,16,76.19%
39,Stegefelt Markus,NOL,LB,33,14,70.00%,11,64.71%,25,46.30%,-,-,-,-,6,66.67%
40,Hornke Tim,SCM,RW,38,13,65.00%,1,100.00%,-,-,34,65.38%,2,100.00%,13,92.86%
41,Goller Axel,FAG,RW,38,13,76.47%,3,42.86%,-,-,18,72.00%,-,-,7,77.78%
42,Weissgerber Lars,WET,RW,38,12,66.67%,7,87.50%,3,33.33%,19,65.52%,3,100.00%,5,55.56%
43,Mickal Pavel,NOL,LW,38,10,83.33%,6,60.00%,3,50.00%,34,51.52%,-,-,40,85.11%
44,Weber Philipp,LEI,CB,37,9,81.82%,52,70.27%,64,47.76%,-,-,2,100.00%,6,85.71%
45,Steinhauser Marius,SGF,RW,36,9,75.00%,2,40.00%,1,33.33%,37,69.81%,-,-,14,93.33%
46,Wagner Hendrik,LUD,LB,37,9,100.00%,55,56.70%,105,53.85%,2,100.00%,-,-,8,88.89%
47,Pohle Georg,NOL,LB,34,7,63.64%,15,48.39%,67,42.41%,-,-,3,60.00%,3,75.00%
48,Muller Justin,TUE,CB,38,7,77.78%,49,62.82%,32,41.56%,-,-,5,71.43%,13,92.86%
49,Zerbe Lukas,TBV,RW,34,7,70.00%,9,69.23%,1,50.00%,44,70.97%,5,83.33%,25,92.59%
50,Chrintz Valter,BER,RW,36,7,63.64%,5,71.43%,1,50.00%,17,48.57%,1,100.00%,4,57.14%
51,Arnesson Linus,BHC,CB,32,6,75.00%,24,40.68%,64,52.46%,-,-,3,75.00%,4,100.00%
52,Mikkelsen Lasse Reinhold,MTM,CB,38,6,66.67%,15,71.43%,13,46.43%,-,-,1,100.00%,1,100.00%
53,Kuzmanovski Filip,HAN,LB,35,6,66.67%,34,66.67%,9,34.62%,1,100.00%,-,-,12,92.31%
54,Rambo Christoffer,GWD,RB,38,5,71.43%,82,67.77%,86,42.16%,-,-,-,-,12,80.00%
55,Fraatz Yannick,BHC,RW,20,5,83.33%,3,100.00%,-,-,10,90.91%,-,-,14,100.00%
56,Wiesmach Patrick,LEI,RW,31,4,57.14%,2,66.67%,-,-,50,65.79%,4,100.00%,36,90.00%
57,Grimm Philipp,LUD,LW,10,3,75.00%,-,-,-,-,2,66.67%,-,-,-,-
58,Kozina Kresimir,FAG,P,38,3,37.50%,10,58.82%,5,83.33%,-,-,88,79.28%,4,66.67%
59,Landin Magnus,THW,LW,35,3,50.00%,5,71.43%,1,100.00%,21,61.76%,1,100.00%,10,90.91%
60,Schulze Alexander,TVB,LW,35,3,75.00%,-,-,-,-,28,77.78%,1,50.00%,8,72.73%
61,Theuerkauf Christoph,TBV,P,8,2,100.00%,1,100.00%,-,-,-,-,15,83.33%,2,100.00%
62,Wiede Fabian,BER,RB,37,2,100.00%,61,78.21%,38,44.71%,3,100.00%,-,-,4,100.00%
63,Leenders Toon,NOL,P,38,2,66.67%,-,-,-,-,-,-,9,100.00%,-,-
64,Mellegard Emil,WET,LW,37,2,66.67%,3,50.00%,5,50.00%,21,55.26%,1,100.00%,26,83.87%
65,Ignatow Dimitri,TUE,RW,38,2,50.00%,1,33.33%,-,-,50,67.57%,-,-,19,82.61%
66,Rubin Lenny,WET,LB,38,2,66.67%,60,67.42%,79,54.86%,1,100.00%,2,100.00%,9,90.00%
67,Jondal Magnus,SGF,LW,38,2,100.00%,3,50.00%,-,-,19,57.58%,-,-,3,100.00%
68,Groetzki Patrick,RNL,RW,34,1,33.33%,10,66.67%,1,100.00%,58,73.42%,2,66.67%,37,86.05%
69,Seidel Lasse,NOL,LW,9,1,100.00%,1,100.00%,-,-,2,50.00%,1,100.00%,3,75.00%
70,Steinert Christoph,SCM,RB,38,1,33.33%,14,77.78%,23,67.65%,-,-,-,-,1,100.00%
71,Spross Felix,COB,LW,38,1,50.00%,4,40.00%,-,-,25,55.56%,1,100.00%,13,68.42%
72,Kalafut Dominik,NOL,P,34,1,100.00%,3,27.27%,2,40.00%,-,-,60,75.95%,3,100.00%
73,Olsson Hampus,HCE,RW,33,1,33.33%,8,100.00%,2,50.00%,20,62.50%,5,100.00%,27,79.41%
74,Zetterman Pontus,COB,RB,36,1,50.00%,62,63.92%,20,35.09%,1,100.00%,-,-,-,-
75,Bjornsen Kristian,WET,RW,37,1,33.33%,15,75.00%,1,100.00%,68,76.40%,11,68.75%,47,85.45%
76,Zare Levin,NOL,LW,30,1,100.00%,1,100.00%,-,-,5,71.43%,-,-,3,75.00%
77,Andersson Lasse Bredekjaer,BER,LB,37,1,100.00%,35,66.04%,82,54.30%,-,-,2,66.67%,13,92.86%
78,Weck Alexander,BHC,LB,16,1,20.00%,7,70.00%,12,50.00%,-,-,-,-,-,-
79,Mavers Veit,HAN,CB,38,1,33.33%,24,68.57%,10,41.67%,2,100.00%,1,50.00%,2,100.00%
80,Reimann Alexander,TBV,LW,28,1,100.00%,-,-,1,50.00%,2,50.00%,1,50.00%,3,60.00%
81,Preller Max,COB,LW,7,1,100.00%,1,100.00%,-,-,2,40.00%,-,-,-,-
82,Heinis Robin,BER,RB,5,1,100.00%,-,-,-,-,-,-,-,-,-,-
83,Holpert Magnus,SGF,CB,33,1,100.00%,2,50.00%,4,40.00%,-,-,-,-,-,-
84,Holzhacker Paul,GWD,RW,6,1,100.00%,-,-,-,-,-,-,-,-,-,-
85,Fuchs Julian,MTM,RW,5,1,100.00%,-,-,-,-,-,-,-,-,-,-
86,Homscheid Nils,TUE,CB,15,1,50.00%,2,50.00%,1,100.00%,-,-,-,-,-,-
87,Heinevetter Silvio,MTM,GK,38,-,-,-,-,-,-,-,-,-,-,-,-
88,Bult Mark,SGF,RB,2,-,-,-,-,-,-,-,-,-,-,-,-
89,Schagen Bobby,TBV,RW,37,-,-,9,69.23%,5,50.00%,25,67.57%,-,-,9,90.00%
90,Nippes Kristian,BHC,RB,12,-,-,4,57.14%,1,50.00%,1,33.33%,-,-,1,100.00%
92,Gutbrod Fabian,BHC,LB,34,-,-,32,62.75%,102,60.36%,-,-,1,100.00%,2,66.67%
94,Horak Pavel,THW,LB,36,-,-,2,40.00%,-,-,-,-,4,100.00%,4,100.00%
95,Kneule Tim,FAG,CB,38,-,-,63,75.00%,21,38.89%,-,-,3,50.00%,2,66.67%
96,Hafner Kai,MTM,RB,36,-,-,86,72.88%,61,48.03%,5,71.43%,2,100.00%,9,90.00%
98,Ziemer Martin,HCE,GK,38,-,-,-,-,-,-,-,-,-,-,-,-
99,Mrkva Tomas,BHC,GK,36,-,-,-,-,-,-,-,-,-,-,1,100.00%
101,Fath Steffen,HCE,LB,20,-,-,17,73.91%,14,37.84%,-,-,2,66.67%,1,100.00%
103,Muller Philipp,LEI,LB,8,-,-,-,-,-,-,-,-,-,-,-,-
104,Bitter Johannes,TVB,GK,24,-,-,-,-,-,-,-,-,-,-,-,-
105,Duvnjak Domagoj,THW,CB,37,-,-,39,66.10%,56,61.54%,-,-,3,75.00%,29,96.67%
107,Allendorf Michael,MTM,LW,30,-,-,1,50.00%,-,-,14,58.33%,3,100.00%,6,66.67%
108,Danner Felix,MTM,P,35,-,-,1,16.67%,1,100.00%,-,-,31,72.09%,-,-
109,Fritz Henning,SGF,GK,8,-,-,-,-,-,-,-,-,-,-,-,-
110,Pettersson Alexander,SGF,RB,26,-,-,14,66.67%,6,40.00%,3,42.86%,-,-,8,88.89%
111,Bohm Fabian,HAN,LB,31,-,-,41,62.12%,25,39.68%,1,50.00%,-,-,2,100.00%
112,Quenstedt Dario,THW,GK,37,-,-,-,-,-,-,-,-,-,-,-,-
116,Svan Lasse,SGF,RW,38,-,-,4,50.00%,1,100.00%,62,72.09%,1,33.33%,22,95.65%
117,Heinl Jacob,SGF,P,11,-,-,-,-,-,-,-,-,1,100.00%,-,-
118,Lichtlein Carsten,GWD,GK,38,-,-,-,-,-,-,-,-,-,-,-,-
119,Link Nikolai,HCE,LB,19,-,-,3,50.00%,11,57.89%,-,-,-,-,2,50.00%
121,Palicka Andreas,RNL,GK,32,-,-,-,-,1,100.00%,-,-,-,-,-,-
124,Zeitz Christian,GWD,RB,32,-,-,11,44.00%,4,18.18%,-,-,-,-,2,66.67%
126,Dietrich Gunnar,LUD,LB,36,-,-,8,66.67%,22,42.31%,1,100.00%,-,-,-,-
127,Kogut Andrej,TBV,CB,30,-,-,15,57.69%,8,50.00%,-,-,-,-,-,-
130,Pevnov Evgeni,HAN,P,35,-,-,1,33.33%,-,-,-,-,60,69.77%,-,-
131,Katsigiannis Nikolas,RNL,GK,30,-,-,-,-,-,-,-,-,-,-,-,-
132,Semisch Malte,GWD,GK,38,-,-,-,-,-,-,-,-,-,-,2,100.00%
133,Putera Milos,LEI,GK,7,-,-,-,-,-,-,-,-,-,-,-,-
134,Andersson Mattias,THW,GK,8,-,-,-,-,-,-,-,-,-,-,-,-
