POS Position,Name,Team,Position,P Played,G 7M goals,% 7M Shooting accuracy,G Full back - Goals,% Full back - Shooting accuracy,T Centre back - Goals,% Centre back - Shooting accuracy,G Wing - Goals,% Wing - Shooting accuracy,G Pivot - Goals,% Pivot - Shooting accuracy,G Fast breaks - Goals,% Fast breaks - Shooting accuracy
1,Magnusson Omar Ingi,SCM,RB,34,131,79.39%,81,68.07%,21,55.26%,-,-,-,-,6,75.00%
2,Lindberg Hans,BER,RW,34,120,85.71%,7,87.50%,-,-,52,71.23%,9,75.00%,9,100.00%
3,Zehnder Samuel,TBV,LW,34,106,79.10%,6,54.55%,1,33.33%,36,64.29%,-,-,18,69.23%
4,Zehnder Manuel,EIS,CB,34,91,71.65%,121,67.60%,50,44.25%,-,-,2,100.00%,12,92.31%
5,Vujovic Milos,GUM,LW,33,85,81.73%,7,70.00%,-,-,45,67.16%,1,50.00%,22,78.57%
6,Schiller Marcel,FAG,LW,32,81,75.70%,6,75.00%,1,50.00%,49,62.03%,1,50.00%,25,73.53%
7,Mortensen Casper,HSV,LW,30,81,77.14%,11,47.83%,-,-,65,59.09%,5,100.00%,37,77.08%
8,Novak Domen,WET,RW,34,78,77.23%,14,82.35%,4,80.00%,53,69.74%,11,64.71%,21,70.00%
9,Gretarsson Oddur,HBW,LW,30,73,81.11%,2,40.00%,-,-,23,56.10%,2,100.00%,2,40.00%
10,Jakobsen Emil,SGF,LW,33,71,75.53%,9,56.25%,2,100.00%,80,67.80%,1,100.00%,34,82.93%
11,Fernandez Daniel,TVB,LW,34,64,86.49%,5,83.33%,-,-,42,66.67%,1,20.00%,26,81.25%
12,Kristjansson Viggo,LEI,RB,32,63,76.83%,80,68.38%,34,55.74%,3,42.86%,3,100.00%,14,87.50%
13,Ekberg Niclas,THW,RW,34,62,77.50%,7,53.85%,2,66.67%,47,64.38%,11,84.62%,20,95.24%
14,Beyer Noah,BHC,LW,31,52,73.24%,6,66.67%,-,-,45,68.18%,3,100.00%,22,88.00%
15,Steinhauser Marius,HAN,RW,30,45,73.77%,9,90.00%,-,-,56,76.71%,2,66.67%,32,88.89%
16,Kastening Timo,MTM,RW,34,45,66.18%,7,70.00%,-,-,57,64.04%,3,75.00%,36,90.00%
17,Steinert Christoph,HCE,RB,34,43,69.35%,24,54.55%,12,27.27%,1,100.00%,3,100.00%,5,83.33%
18,Reichmann Tobias,RNL,RW,15,42,79.25%,2,66.67%,-,-,24,68.57%,2,100.00%,8,88.89%
19,Martinovic Ivan,MTM,RB,29,39,79.59%,50,66.67%,32,47.06%,-,-,-,-,14,82.35%
20,Arnesson Linus,BHC,CB,29,30,68.18%,24,57.14%,22,44.90%,-,-,8,57.14%,-,-
21,Gerbl Maximilian,HAN,RW,34,28,71.79%,2,66.67%,-,-,22,68.75%,-,-,5,55.56%
22,Andersen Frederik Bo,HSV,RW,34,22,70.97%,6,60.00%,-,-,75,68.81%,1,100.00%,11,78.57%
23,Knorr Juri,RNL,CB,30,22,61.11%,80,66.67%,34,45.33%,-,-,5,100.00%,7,100.00%
24,Volz Patrick,HBW,LW,23,21,65.63%,6,100.00%,-,-,42,75.00%,1,50.00%,14,70.00%
25,Snajder Ivan,EIS,LW,31,21,75.00%,6,60.00%,-,-,40,60.61%,3,75.00%,16,100.00%
26,Mavers Veit,HCE,CB,17,17,70.83%,7,50.00%,2,40.00%,-,-,-,-,2,66.67%
27,Smits Kay,SGF,RB,15,16,72.73%,36,70.59%,11,50.00%,-,-,-,-,-,-
28,Becher Lukas,WET,LW,28,14,66.67%,5,83.33%,-,-,16,47.06%,-,-,10,76.92%
29,Hornke Tim,SCM,RW,34,13,92.86%,5,100.00%,-,-,61,68.54%,-,-,21,95.45%
30,Ignatow Dimitri,MTM,RW,34,13,68.42%,2,100.00%,-,-,16,64.00%,1,100.00%,4,66.67%
31,Tollbring Jerry,BER,LW,34,12,80.00%,3,100.00%,-,-,55,62.50%,5,83.33%,15,68.18%
32,Zerbe Lukas,TBV,RW,34,11,84.62%,6,85.71%,-,-,40,63.49%,7,77.78%,20,100.00%
33,Forsell Schefvert Olle,RNL,LB,29,8,66.67%,33,61.11%,3,30.00%,-,-,2,100.00%,4,57.14%
34,Jeppsson Simon,HCE,LB,34,7,53.85%,33,67.35%,53,55.79%,-,-,2,100.00%,4,100.00%
35,Davidsson Gustav,RNL,LB,27,7,58.33%,48,65.75%,2,14.29%,-,-,-,-,1,50.00%
36,Vistorop Filip,HBW,LB,31,6,66.67%,45,56.96%,34,45.33%,-,-,3,75.00%,6,100.00%
37,Johansson Eric,THW,LB,34,6,75.00%,53,67.95%,91,65.94%,-,-,2,100.00%,5,83.33%
38,Mappes Dominik,GUM,CB,24,5,62.50%,37,61.67%,15,44.12%,-,-,7,100.00%,-,-
39,Flodman Andreas,FAG,RW,29,4,57.14%,2,40.00%,-,-,36,72.00%,-,-,13,100.00%
