P,Team,G,W,D,L,Pts,Diff,+,-
1,SCM,34/34,32,0,2,64:04:00,183,1067,884
2,THW,34/34,28,2,4,58:10:00,175,1045,870
3,BER,34/34,24,5,5,53:15:00,121,1006,885
4,SGF,34/34,22,6,6,50:18:00,126,978,852
5,FAG,34/34,17,4,13,38:30:00,-12,975,987
6,TBV,34/34,16,5,13,37:31:00,-17,945,962
7,WET,34/34,16,3,15,35:33:00,22,932,910
8,MTM,34/34,15,3,16,33:35:00,-2,890,892
9,LEI,34/34,14,5,15,33:35:00,-2,891,893
10,RNL,34/34,13,4,17,30:38:00,-5,960,965
11,BHC,34/34,13,3,18,29:39:00,-34,851,885
12,HCE,34/34,12,3,19,27:41:00,-25,911,936
13,HAN,34/34,12,3,19,27:41:00,-42,900,942
14,HSV,34/34,12,2,20,26:42:00,-41,919,960
15,TVB,34/34,11,2,21,24:44:00,-70,962,1032
16,GWD,34/34,7,4,23,18:50,-93,857,950
17,HBW,34/34,6,4,24,16:52,-140,847,987
18,NLB,34/34,7,0,27,14:54,-144,789,933
