P,Team,G,W,D,L,Pts,Diff,+,-
1,THW,38/38,33,2,3,68:08:00,213,1212,999
2,SGF,38/38,32,4,2,68:08:00,177,1175,998
3,SCM,38/38,25,3,10,53:23:00,138,1151,1013
4,BER,38/38,25,2,11,52:24:00,90,1093,1003
5,RNL,38/38,23,4,11,50:26:00,93,1116,1023
6,LEI,38/38,19,4,15,42:34:00,-2,1017,1019
7,FAG,38/38,18,6,14,42:34:00,9,1055,1046
8,MTM,38/38,19,3,16,41:35:00,0,1062,1062
9,TBV,38/38,18,5,15,41:35:00,-13,1043,1056
10,WET,38/38,18,5,15,41:35:00,44,1078,1034
11,HAN,38/38,15,6,17,36:40:00,-2,1032,1034
12,BHC,38/38,16,3,19,35:41:00,18,1037,1019
13,HCE,38/38,15,4,19,34:42:00,-13,1038,1051
14,TVB,38/38,14,4,20,32:44:00,-56,1019,1075
15,HBW,38/38,13,3,22,29:47:00,-77,1023,1100
16,GWD,38/38,10,8,20,28:48:00,-62,989,1051
17,LUD,38/38,10,5,23,25:51:00,-91,927,1018
18,NOL,38/38,7,3,28,17:59,-148,964,1112
19,TUE,38/38,7,1,30,15:01:00,-129,1013,1142
20,COB,38/38,4,3,31,11:01:00,-189,968,1157
