POS Position,Name,Team,Position,P Played,S Saves,S 7M saves,% 7M save accuracy,S Full back - Saves,% Full back - Save accuracy,P Centre back - Saves,% Centre back - Save accuracy,S Wing - Saves,% Wing - Save accuracy,S Pivot - Saves,% Pivot - Save accuracy,S Fast breaks - Saves,% Fast breaks - Save accuracy,G Goals
1,Milosavljev Dejan,BER,GK,34,367,23,28.40%,116,30.45,119,40.75,51,28.33,43,21.72,15,18.52,3
2,El-Tayar Mohamed Essam Moustafa,HBW,GK,33,295,23,31.08%,84,25.30,105,45.85,31,26.27,31,20.13,21,30.00,-
3,Møller Kevin,SGF,GK,34,292,22,31.88%,76,27.14,109,47.39,39,34.82,33,23.74,13,20.00,-
4,Klimpke Till,WET,GK,34,291,21,23.86%,84,24.21,96,47.29,28,19.18,35,23.65,24,25.53,3
5,Simic Nebojsa,MTM,GK,34,258,24,28.57%,79,26.60,88,46.32,33,31.13,18,15.65,14,20.59,2
6,Ebner Domenico,LEI,GK,31,238,17,26.56%,76,30.16,74,44.31,29,33.33,29,27.62,10,26.32,-
7,Mrkva Tomas,THW,GK,32,232,16,23.88%,51,24.52,79,41.15,48,28.57,23,18.11,14,25.45,-
8,Bitter Johannes,HSV,GK,34,227,9,13.43%,84,23.66,56,39.44,36,25.17,29,20.86,11,14.86,-
9,Hernandez Ferrer Sergey,SCM,GK,34,224,8,13.33%,53,28.96,86,45.26,42,41.18,29,26.61,5,13.16,2
10,Rudeck Christopher,BHC,GK,30,210,18,19.57%,60,22.47,63,42.57,31,32.29,25,26.88,13,20.31,1
11,Kastelic Urh,TBV,GK,34,204,12,24.00%,76,25.94,54,42.19,27,29.35,16,17.02,10,18.18,-
12,Gade Simon,HAN,GK,30,199,11,17.74%,73,26.26,44,44.44,49,31.41,16,17.39,6,11.32,4
13,Vujovic Miljan,TVB,GK,34,192,9,13.04%,60,24.79,54,37.50,32,29.63,20,21.05,17,29.82,-
14,Portner Nikola,SCM,GK,27,191,10,23.26%,48,27.91,73,45.34,36,32.43,18,18.00,6,17.14,7
15,Obling Bertram,HCE,GK,34,188,13,17.57%,51,24.06,53,42.40,40,35.09,21,24.71,10,15.87,-
16,Rebmann Daniel,GUM,GK,34,187,11,21.15%,70,24.82,54,47.37,20,21.74,20,19.61,12,24.00,-
17,Ivanisevic Tibor,GUM,GK,34,179,16,21.33%,68,25.66,42,43.75,25,31.65,20,22.47,6,10.00,1
18,Spath David,RNL,GK,29,177,6,15.79%,55,27.78,54,46.15,27,30.00,20,22.99,15,24.59,2
19,Saeveraas Kristian,LEI,GK,32,172,15,23.81%,54,24.55,58,37.66,19,26.76,18,21.69,7,13.21,-
20,Appelgren Mikael,RNL,GK,30,169,8,21.62%,64,37.43,55,52.38,21,26.92,14,20.59,6,14.29,-
21,Heinevetter Silvio,TVB,GK,33,166,12,16.67%,46,21.10,60,45.45,27,30.00,13,16.05,7,12.73,-
22,Kornecki Mateusz,EIS,GK,31,166,10,19.23%,87,29.90,16,31.37,29,31.87,21,21.21,2,5.88,1
23,Ferlin Klemen,HCE,GK,31,155,7,12.28%,47,27.01,54,38.57,21,20.39,22,27.50,4,10.00,-
24,Sego Marin,FAG,GK,34,153,12,15.19%,59,26.34,34,35.05,27,23.48,10,16.39,11,18.64,-
25,Johannesson Peter,BHC,GK,33,152,8,17.39%,55,25.70,46,44.23,21,20.39,14,17.07,7,18.92,1
26,Buric Benjamin,SGF,GK,34,151,8,20.00%,36,24.16,60,37.97,17,32.08,22,28.57,8,25.00,2
27,Quenstedt Dario,HAN,GK,32,147,7,15.91%,49,25.00,30,37.97,41,32.28,15,23.81,4,11.11,1
28,Zecher Finn,TBV,GK,34,141,12,23.08%,76,28.68,20,35.71,19,26.03,9,13.24,4,13.33,-
29,Spikic Matija,EIS,GK,34,141,4,11.76%,65,27.66,19,26.39,23,23.47,21,24.42,8,17.78,3
30,Ravensbergen Bart,FAG,GK,24,139,6,18.75%,56,33.53,40,41.67,14,14.89,17,23.29,6,10.34,10
31,Morawski Adam,MTM,GK,34,130,9,20.93%,33,23.40,38,40.86,22,40.74,21,32.31,7,22.58,1
32,Bellahcene Samir,THW,GK,28,130,11,23.91%,39,28.26,37,38.95,23,26.14,15,25.00,5,13.16,1
33,Birlehm Joel,RNL,GK,32,97,5,14.29%,38,29.46,28,41.18,12,32.43,7,14.89,7,25.93,-
34,Vortmann Jens,HSV,GK,30,91,11,23.91%,36,23.38,20,32.26,5,8.93,13,17.57,5,14.29,1
35,Ruminsky Mario,HBW,GK,32,85,10,20.83%,25,20.16,29,42.03,7,15.56,12,20.69,2,7.69,-
36,Suljakovic Anadin,WET,GK,25,82,4,17.39%,28,31.82,24,42.11,14,28.57,7,20.59,5,19.23,-
37,Buchele Julian,FAG,GK,17,48,4,23.53%,17,30.91,16,48.48,6,23.08,3,10.71,2,11.11,-
38,Kireev Victor,BER,GK,28,28,1,7.14%,6,15.00,13,38.24,7,53.85,1,5.88,-,-,-
39,Plaue Dominik,EIS,GK,16,16,5,22.73%,5,20.83,5,45.45,-,-,1,5.88,-,-,-
40,Ludwig Lasse,BER,GK,7,12,0,0.00%,2,22.22,5,55.56,1,20.00,1,33.33,3,50.00,-
41,Andresen Lasse,HAN,GK,4,11,1,33.33%,8,38.10,-,-,2,50.00,-,-,-,-,-
42,Aggefors Mikael,SCM,GK,7,9,1,20.00%,4,40.00,2,40.00,-,-,-,-,2,-,-
43,Oberosler Louis,BHC,GK,5,8,1,20.00%,2,18.18,3,42.86,1,25.00,1,20.00,-,-,-
44,Mestrovic Theo,HBW,GK,2,6,0,0.00%,2,33.33,1,25.00,1,50.00,2,50.00,-,-,-
45,Grazioli Leonard,WET,GK,6,3,-,-,-,-,3,42.86,-,-,-,-,-,-,-
46,Pinski Alexander,HSV,GK,6,3,0,0.00%,-,-,1,33.33,1,33.33,-,-,1,33.33,-
47,Tschentscher Luca,TVB,GK,1,3,-,-,-,-,1,25.00,-,-,2,50.00,-,-,-
48,Freitag Bastian,EIS,GK,4,3,-,-,1,14.29,2,-,-,-,-,-,-,-,-
49,Sejr Jensen Simon,HBW,GK,1,2,-,-,-,-,2,40.00,-,-,-,-,-,-,-
50,Reichenbach Lukas,HAN,GK,1,2,-,-,-,-,-,-,2,-,-,-,-,-,-
51,Bochmann Pascal,LEI,GK,3,2,0,0.00%,-,-,1,-,-,-,1,33.33,-,-,-
52,Szymon Wagner,HAN,GK,1,1,-,-,1,50.00,-,-,-,-,-,-,-,-,-
53,Ziemer Martin,HCE,GK,1,-,0,0.00%,-,-,-,-,-,-,-,-,-,-,-
55,Hassferter Michael,HCE,GK,2,-,0,0.00%,-,-,-,-,-,-,-,-,-,-,-
56,Grundel Finn Luca,HSV,GK,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
57,Goebner Marius,WET,GK,3,-,0,0.00%,-,-,-,-,-,-,-,-,-,-,-
58,Stegemeyer Dennis,TVB,GK,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
59,Bierfreund Magnus,THW,GK,8,-,0,0.00%,-,-,-,-,-,-,-,-,-,-,-
60,Babic Roman,BHC,GK,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
61,Beck Carl,MTM,GK,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
62,Guretzky Daniel,LEI,GK,2,-,0,0.00%,-,-,-,-,-,-,-,-,-,-,-
