POS Position,Name,Team,Position,P Played,G 7M goals,% 7M Shooting accuracy,G Full back - Goals,% Full back - Shooting accuracy,T Centre back - Goals,% Centre back - Shooting accuracy,G Wing - Goals,% Wing - Shooting accuracy,G Pivot - Goals,% Pivot - Shooting accuracy,G Fast breaks - Goals,% Fast breaks - Shooting accuracy
403,Oetjen Thore,TBV,P,1,-,-,-,-,-,-,-,-,-,-,-,-
404,Michalski Niklas,RNL,RW,6,-,-,-,-,-,-,2,66.67%,-,-,-,-
405,Klimpke Ole,WET,LB,16,-,-,2,40.00%,3,75.00%,-,-,-,-,1,100.00%
406,Huber Elias,HBW,CB,12,-,-,3,75.00%,-,-,2,66.67%,1,100.00%,-,-
407,Scheiner Joshua,TVB,GK,1,-,-,-,-,-,-,-,-,-,-,-,-
408,Ayar Koray,HAN,P,10,-,-,-,-,-,-,-,-,-,-,-,-
409,Herz Christian,TBV,LB,1,-,-,-,-,-,-,-,-,-,-,-,-
410,Schmitz Tobias,BHC,LW,7,-,-,1,100.00%,-,-,1,25.00%,-,-,1,100.00%
411,Buchele Julian,FAG,GK,3,-,-,-,-,-,-,-,-,-,-,-,-
412,Backhaus Theodor Felix,SGF,GK,5,-,-,-,-,-,-,-,-,-,-,-,-
413,Grupe Mats,RNL,GK,5,-,-,-,-,-,-,-,-,-,-,-,-
414,Hansen Hark,TBV,RB,3,-,-,-,-,-,-,-,-,-,-,-,-
415,Bauder Tim,HCE,LW,1,-,-,-,-,-,-,-,-,-,-,-,-
416,Okpara Maduwuike,WET,P,5,-,-,-,-,-,-,-,-,-,-,-,-
417,Stoyke Timo,GWD,P,2,-,-,-,-,-,-,-,-,-,-,-,-
418,Grabitz Lucas,GWD,GK,2,-,-,-,-,-,-,-,-,-,-,-,-
419,Lets Vladislav,BER,P,1,-,-,-,-,-,-,-,-,1,100.00%,-,-
420,Runarsson Andri Mar,TVB,CB,34,-,-,12,63.16%,10,66.67%,-,-,1,100.00%,4,66.67%
421,Sahin Rohat,MTM,P,10,-,-,-,-,-,-,-,-,-,-,-,-
422,Schwarzer Kian,TBV,LW,33,-,-,-,-,-,-,8,57.14%,1,100.00%,4,80.00%
423,Schottle Nico,TVB,LB,9,-,-,1,100.00%,4,44.44%,-,-,-,-,-,-
424,Gomes Andre,MTM,LB,20,-,-,30,65.22%,25,46.30%,-,-,2,100.00%,-,-
425,Jonsson Elvar Orn,MTM,CB,25,-,-,47,71.21%,21,53.85%,1,100.00%,2,66.67%,3,100.00%
426,Helmersson Mikael,SGF,LB,2,-,-,-,-,-,-,-,-,-,-,-,-
427,Gunther Ole,GWD,RB,1,-,-,-,-,-,-,-,-,-,-,-,-
428,Jukic Nikola,GWD,RB,29,-,-,38,55.07%,29,39.73%,-,-,-,-,1,100.00%
429,Timmermeister Robert,RNL,LB,2,-,-,-,-,-,-,-,-,-,-,-,-
430,Asheim Havard,NLB,GK,32,-,-,-,-,-,-,-,-,-,-,-,-
431,Tokuda Rennosuke,NLB,RB,15,-,-,6,60.00%,-,-,-,-,-,-,1,100.00%
432,Boczkowski Leon,WET,CB,6,-,-,-,-,-,-,-,-,-,-,-,-
434,Ruddat Elias,SCM,LW,2,-,-,-,-,-,-,-,-,-,-,-,-
435,Wollert Ben,NLB,GK,2,-,-,-,-,-,-,-,-,-,-,-,-
436,Finn-Jannes Gernus,NLB,LW,15,-,-,-,-,-,-,1,100.00%,-,-,1,100.00%
437,Knuttel Niklas,NLB,P,1,-,-,-,-,-,-,-,-,-,-,-,-
438,Van Oettingen Oscar,SGF,RB,8,-,-,3,100.00%,-,-,-,-,-,-,-,-
439,Adam Frederik,SGF,LW,3,-,-,-,-,-,-,-,-,-,-,-,-
440,Pereira Francisco,BER,RW,1,-,-,-,-,-,-,-,-,-,-,-,-
441,Depping Luc,HAN,RW,5,-,-,-,-,-,-,-,-,-,-,-,-
442,Hanemann Hendrik,LEI,P,15,-,-,-,-,-,-,-,-,4,100.00%,-,-
443,Mauch Jan Luca,TVB,RB,2,-,-,-,-,-,-,-,-,-,-,-,-
444,Greilich Nils,LEI,LW,1,-,-,-,-,-,-,-,-,-,-,-,-
445,Widmaier Maurice,TVB,CB,1,-,-,-,-,-,-,-,-,-,-,-,-
446,Grundel Finn Luca,HSV,GK,1,-,-,-,-,-,-,-,-,-,-,-,-
447,Meinking Marvin,NLB,RW,1,-,-,-,-,-,-,-,-,-,-,-,-
448,Wunsch Joel,HAN,LW,2,-,-,-,-,-,-,-,-,-,-,-,-
449,Siebel Lasse,TVB,RW,1,-,-,-,-,-,-,-,-,-,-,-,-
450,More David,RNL,LW,7,-,-,-,-,-,-,8,61.54%,-,-,1,100.00%
451,Wente Till,HBW,LB,15,-,-,1,33.33%,3,50.00%,-,-,2,100.00%,-,-
452,Horr Manuel,MTM,CB,13,-,-,2,100.00%,-,-,-,-,-,-,1,100.00%
453,Wuzella Daniel,SGF,CB,1,-,-,-,-,-,-,-,-,-,-,-,-
454,Weber Daniel,HAN,RW,1,-,-,-,-,-,-,2,100.00%,-,-,-,-
455,Bones Paul,LEI,CB,1,-,-,-,-,-,-,-,-,-,-,-,-
456,Fugel Elias,HBW,RW,8,-,-,-,-,-,-,1,50.00%,-,-,3,100.00%
457,El-Tayar Mohamed Essam Moustafa,LEI,GK,16,-,-,-,-,-,-,-,-,-,-,-,-
458,Hildenbrand Tim,HBW,RW,5,-,-,-,-,-,-,8,47.06%,-,-,1,100.00%
459,Hacker Franz,LEI,LB,1,-,-,-,-,-,-,-,-,-,-,-,-
460,Schroder Nils,HAN,LB,2,-,-,-,-,-,-,-,-,-,-,-,-
461,Peter Staffan,LEI,RW,1,-,-,-,-,-,-,-,-,-,-,-,-
462,Dieffenbacher Ron Yunis,BER,P,4,-,-,-,-,-,-,-,-,-,-,-,-
463,Pinski Alexander,HSV,GK,1,-,-,-,-,-,-,-,-,-,-,-,-
464,Niemann Max,HSV,CB,4,-,-,6,100.00%,1,50.00%,-,-,-,-,-,-
465,Most Alex Wolfgang,HSV,P,3,-,-,-,-,-,-,-,-,-,-,-,-
466,Quardfasel Mats Ove,HSV,RW,1,-,-,-,-,-,-,-,-,-,-,2,100.00%
467,Hasenkamp Fynn Jarik,SGF,LB,8,-,-,-,-,2,100.00%,-,-,-,-,-,-
468,Jacobs Jann Keno,BER,P,3,-,-,-,-,-,-,-,-,3,75.00%,-,-
469,Potzkai Florian,MTM,,1,-,-,-,-,-,-,-,-,-,-,-,-
470,Eisele Felix,FAG,RW,2,-,-,-,-,-,-,-,-,-,-,1,100.00%
471,Schnitter Jannis,HSV,LB,1,-,-,-,-,-,-,-,-,-,-,-,-
472,Bacani Nico,TVB,RW,2,-,-,-,-,-,-,1,100.00%,-,-,-,-
473,Battermann Ben Connar,THW,LB,1,-,-,-,-,-,-,-,-,-,-,-,-
474,Schwormstede Luca Alexander,THW,LB,1,-,-,-,-,2,100.00%,-,-,-,-,-,-
475,Faust Jarnes,THW,RW,1,-,-,-,-,-,-,5,100.00%,-,-,2,100.00%
476,Bendiks Bo Asmuss,SGF,GK,1,-,-,-,-,-,-,-,-,-,-,-,-
