POS Position,Name,Team,Position,P Played,G 7M goals,% 7M Shooting accuracy,G Full back - Goals,% Full back - Shooting accuracy,T Centre back - Goals,% Centre back - Shooting accuracy,G Wing - Goals,% Wing - Shooting accuracy,G Pivot - Goals,% Pivot - Shooting accuracy,G Fast breaks - Goals,% Fast breaks - Shooting accuracy
205,Bissel Christopher,HCE,LW,33,-,-,5,71.43%,2,100.00%,31,59.62%,11,84.62%,33,82.50%
206,Muller Jerome,TVB,RB,24,-,-,47,78.33%,26,35.14%,1,33.33%,1,100.00%,5,71.43%
207,Cavor Stefan,WET,RB,31,-,-,55,65.48%,53,54.08%,-,-,-,-,-,-
208,Hanusz Egon,TVB,CB,32,-,-,59,77.63%,13,65.00%,1,100.00%,9,90.00%,13,92.86%
210,Guardiola Isaias,TBV,RB,21,-,-,19,73.08%,10,41.67%,-,-,1,50.00%,6,85.71%
211,Kopljar Marko,BER,RB,29,-,-,6,50.00%,6,46.15%,-,-,4,100.00%,7,77.78%
212,Morros Viran,BER,LB,27,-,-,-,-,1,100.00%,-,-,-,-,-,-
213,Mamic Marko,LEI,LB,33,-,-,24,66.67%,37,50.00%,-,-,1,50.00%,4,80.00%
214,Darj Max,BHC,P,27,-,-,4,40.00%,-,-,-,-,56,77.78%,1,100.00%
215,Pettersson Daniel,SCM,RW,34,-,-,1,50.00%,-,-,42,72.41%,1,50.00%,8,88.89%
216,Simic Nebojsa,MTM,GK,34,-,-,-,-,-,-,-,-,-,-,2,100.00%
217,Cederholm Andreas,TBV,RB,22,-,-,33,71.74%,34,50.00%,-,-,-,-,1,100.00%
218,O'Sullivan Christian,SCM,CB,33,-,-,19,79.17%,9,75.00%,-,-,-,-,18,100.00%
219,Hansson Emil,BHC,RW,32,-,-,2,100.00%,-,-,11,55.00%,-,-,4,100.00%
220,Lindskog Anton,SGF,P,34,-,-,-,-,1,50.00%,-,-,9,81.82%,2,66.67%
221,Johannesson Peter,TBV,GK,29,-,-,-,-,-,-,-,-,-,-,-,-
222,Forsell Schefvert Olle,WET,LB,32,-,-,44,67.69%,34,54.84%,-,-,2,66.67%,5,62.50%
223,Edvardsson Jonathan,HAN,CB,28,-,-,35,76.09%,2,28.57%,-,-,-,-,2,66.67%
224,Carlsbogard Jonathan,TBV,LB,33,-,-,54,72.00%,63,47.73%,-,-,-,-,7,100.00%
225,Thulin Tobias Alexander Gustav,TVB,GK,28,-,-,-,-,-,-,-,-,-,-,-,-
226,Mellegard Emil,WET,LW,34,-,-,6,60.00%,4,66.67%,39,67.24%,6,100.00%,33,78.57%
228,Nilsson Lukas,RNL,LB,23,-,-,27,62.79%,26,55.32%,-,-,-,-,3,100.00%
229,Stutzke Lukas,BHC,LB,29,-,-,37,68.52%,25,43.10%,-,-,-,-,7,50.00%
230,Korte Mats,GWD,LW,32,-,-,4,57.14%,1,100.00%,54,76.06%,2,66.67%,15,71.43%
231,Jaeger Max,HCE,LW,31,-,-,1,50.00%,-,-,8,66.67%,1,50.00%,4,100.00%
232,Kozina Kresimir,FAG,P,34,-,-,9,81.82%,2,66.67%,-,-,82,79.61%,2,40.00%
233,Birlehm Joel,RNL,GK,34,-,-,-,-,-,-,-,-,-,-,-,-
234,Michalczik Marian,BER,LB,12,-,-,10,76.92%,3,50.00%,-,-,-,-,4,100.00%
235,Zelenovic Nemanja,FAG,RB,29,-,-,21,63.64%,19,46.34%,4,66.67%,-,-,2,66.67%
236,Staar Max,GWD,RW,28,-,-,6,85.71%,1,50.00%,25,45.45%,-,-,22,84.62%
237,Klimpke Till,WET,GK,31,-,-,-,-,-,-,-,-,-,-,-,-
238,Nothdurft Tim,HBW,LW,29,-,-,2,50.00%,1,100.00%,58,71.60%,3,100.00%,27,69.23%
239,Timm Marcel,TBV,P,8,-,-,2,100.00%,-,-,-,-,6,75.00%,-,-
240,Hassferter Michael,HCE,GK,3,-,-,-,-,-,-,-,-,-,-,-,-
241,Fraatz Yannick,BHC,RW,14,-,-,-,-,1,100.00%,14,56.00%,-,-,2,100.00%
242,Ebner Domenico,HAN,GK,27,-,-,-,-,-,-,-,-,-,-,1,100.00%
243,Babak Tomas,BHC,CB,27,-,-,40,65.57%,17,54.84%,-,-,-,-,1,100.00%
244,Gullerud Magnus,SCM,P,34,-,-,2,50.00%,-,-,-,-,52,81.25%,6,100.00%
245,Kellner Benedikt,HCE,CB,6,-,-,-,-,-,-,-,-,-,-,-,-
246,Buric Benjamin,SGF,GK,32,-,-,-,-,-,-,-,-,-,-,-,-
247,Bilyk Nikola,THW,LB,34,-,-,21,77.78%,26,57.78%,1,100.00%,-,-,2,66.67%
248,Witzke Luca,LEI,CB,30,-,-,47,63.51%,41,57.75%,-,-,3,100.00%,4,57.14%
249,Feise Hannes,HAN,LW,34,-,-,2,50.00%,-,-,20,74.07%,6,100.00%,3,100.00%
250,Richtzenhain Justus Nicolas,GWD,P,33,-,-,1,50.00%,-,-,-,-,18,78.26%,1,50.00%
251,Matthes Tim,BER,LW,33,-,-,5,100.00%,-,-,36,70.59%,1,25.00%,14,77.78%
252,Bergemann Thies,HSV,RW,29,-,-,2,66.67%,-,-,30,68.18%,-,-,9,90.00%
253,Zecher Finn,TBV,GK,34,-,-,-,-,-,-,-,-,-,-,-,-
254,Wullenweber Finn,HSV,LB,24,-,-,19,65.52%,24,48.00%,-,-,-,-,1,100.00%
255,Kleineidam Jan,HSV,CB,22,-,-,14,63.64%,4,36.36%,-,-,-,-,1,100.00%
256,Axmann Dominik,HSV,LB,14,-,-,23,82.14%,9,50.00%,-,-,-,-,2,100.00%
257,Tissier Leif,HSV,CB,27,-,-,54,65.85%,13,61.90%,-,-,3,75.00%,7,100.00%
258,Boieck Janis,HCE,GK,1,-,-,-,-,-,-,-,-,-,-,-,-
259,Ende Moritz,BER,RW,4,-,-,-,-,-,-,-,-,-,-,-,-
260,Chrapkowski Piotr,SCM,LB,34,-,-,6,85.71%,1,50.00%,-,-,-,-,8,88.89%
261,Rothlisberger Samuel,TVB,P,31,-,-,-,-,-,-,-,-,18,75.00%,-,-
262,Hafner Max,TVB,CB,15,-,-,11,84.62%,8,42.11%,-,-,-,-,1,100.00%
263,Petrovsky Leos,NLB,P,33,-,-,2,33.33%,-,-,-,-,35,77.78%,-,-
264,Krone Jannes,HAN,RW,29,-,-,-,-,-,-,9,47.37%,-,-,2,100.00%
265,Buchner Vincent,HAN,LW,34,-,-,7,87.50%,2,100.00%,24,47.06%,4,100.00%,31,88.57%
266,Pusica Miljan,GWD,LB,3,-,-,-,-,-,-,-,-,-,-,-,-
267,Saueressig Lukas,HBW,CB,16,-,-,16,76.19%,7,43.75%,-,-,-,-,-,-
268,Kalarash Gleb,MTM,P,32,-,-,2,50.00%,-,-,-,-,22,73.33%,5,83.33%
269,Rod Magnus,SGF,RB,8,-,-,6,85.71%,4,44.44%,-,-,-,-,1,100.00%
270,Thiele Joshua,GWD,P,30,-,-,2,100.00%,-,-,-,-,12,75.00%,-,-
271,Schonningsen Simen,BHC,RB,28,-,-,25,62.50%,11,47.83%,-,-,-,-,-,-
272,Kristjansson Gisli Thorgeir,SCM,CB,34,-,-,69,69.00%,14,45.16%,-,-,1,50.00%,-,-
273,Abutovic Ilija,RNL,LB,32,-,-,-,-,-,-,-,-,-,-,-,-
274,Marsenic Mijajlo,BER,P,33,-,-,4,66.67%,-,-,-,-,96,78.05%,13,92.86%
275,Fredriksen Magnus,WET,CB,33,-,-,44,73.33%,9,37.50%,-,-,2,100.00%,2,66.67%
276,Jotic Lovro,LEI,CB,27,-,-,30,61.22%,20,40.00%,-,-,-,-,-,-
277,Hald Jensen Simon,SGF,P,33,-,-,1,50.00%,1,50.00%,-,-,31,83.78%,3,75.00%
278,Smarason Janus Dadi,FAG,CB,24,-,-,29,70.73%,15,51.72%,-,-,1,33.33%,3,100.00%
279,Ellebaek Tobias,FAG,LB,26,-,-,30,78.95%,18,45.00%,1,100.00%,-,-,1,100.00%
280,Saugstrup Magnus,SCM,P,34,-,-,8,72.73%,-,-,-,-,68,80.00%,13,100.00%
281,Chrintz Valter,BER,RW,29,-,-,2,100.00%,-,-,5,83.33%,-,-,5,100.00%
282,Arnarsson Arnar Freyr,MTM,P,34,-,-,2,100.00%,-,-,-,-,37,74.00%,-,-
283,Beciri Kristian,HBW,P,26,-,-,-,-,-,-,-,-,32,68.09%,-,-
284,Lesjak Urban,HAN,GK,31,-,-,-,-,-,-,-,-,-,-,-,-
285,Gislason Ymir Orn,RNL,P,33,-,-,1,50.00%,-,-,-,-,9,69.23%,1,50.00%
286,Scott James,HBW,LB,30,-,-,15,78.95%,23,42.59%,-,-,-,-,-,-
287,Kontrec Tin,NLB,P,25,-,-,2,50.00%,-,-,-,-,32,72.73%,5,100.00%
288,Kastelic Urh,FAG,GK,28,-,-,-,-,-,-,-,-,-,-,-,-
