POS Position,Name,Team,Position,P Played,S Saves,S 7M saves,% 7M save accuracy,S Full back - Saves,% Full back - Save accuracy,P Centre back - Saves,% Centre back - Save accuracy,S Wing - Saves,% Wing - Save accuracy,S Pivot - Saves,% Pivot - Save accuracy,S Fast breaks - Saves,% Fast breaks - Save accuracy,G Goals
1,Milosavljev Dejan,BER,GK,34,368,17,22.08%,90,30.72,148,43.79,61,29.61,38,23.46,13,14.44,4
2,Semisch Malte,GWD,GK,32,330,21,22.34%,67,23.34,129,53.09,74,33.33,24,20.17,15,15.15,5
3,Møller Kevin,SGF,GK,33,318,12,17.14%,86,39.09,143,48.81,35,33.02,30,31.25,12,17.39,1
4,Landin Niklas,THW,GK,31,313,20,24.69%,65,27.43,126,49.03,61,37.89,33,24.81,8,11.59,-
5,Bitter Johannes,HSV,GK,33,299,16,18.60%,89,28.43,95,42.79,50,34.25,34,26.56,14,16.09,1
6,Rebmann Daniel,FAG,GK,32,253,12,13.95%,76,27.14,91,51.70,42,31.11,21,16.80,11,15.07,1
7,Klimpke Till,WET,GK,31,235,8,13.11%,62,28.70,89,50.86,46,30.26,18,16.82,12,14.46,2
8,Simic Nebojsa,MTM,GK,34,215,15,24.59%,46,24.60,85,43.81,35,38.46,21,21.88,12,17.91,4
9,Saeveraas Kristian,LEI,GK,34,211,10,15.63%,60,32.26,68,39.31,37,36.27,22,19.30,14,17.72,1
10,Ruminsky Mario,HBW,GK,33,211,13,19.40%,44,19.56,82,39.42,36,26.28,24,21.82,11,13.75,4
11,Green Jannick,SCM,GK,34,205,8,12.50%,53,26.11,80,39.60,39,26.90,19,16.52,6,10.71,2
12,Ferlin Klemen,HCE,GK,28,199,12,19.35%,46,26.29,82,39.23,32,29.91,19,21.35,8,13.56,-
13,Birlehm Joel,RNL,GK,34,194,16,27.12%,56,28.87,73,44.51,22,27.85,16,15.69,7,10.61,-
14,Johannesson Peter,TBV,GK,29,191,7,14.89%,54,26.21,77,42.78,24,29.27,17,15.45,11,18.33,2
15,Rudeck Christopher,BHC,GK,33,183,10,21.28%,53,27.89,65,40.63,18,30.00,26,21.67,10,20.00,3
16,Rezar Aljosa,NLB,GK,34,182,27,29.67%,25,16.56,68,33.66,43,29.05,10,15.38,9,15.52,-
17,Heinevetter Silvio,MTM,GK,34,179,15,25.86%,38,29.69,69,42.07,24,34.29,24,29.27,9,14.29,-
18,Lesjak Urban,HAN,GK,31,173,12,18.18%,53,23.87,49,36.57,29,27.36,20,21.98,7,10.29,-
19,Mrkva Tomas,BHC,GK,33,171,5,10.00%,60,31.58,55,40.15,19,27.14,21,21.88,10,21.74,1
20,Ebner Domenico,HAN,GK,27,161,11,19.64%,59,27.96,45,50.56,25,30.49,14,18.42,7,15.22,1
21,Buric Benjamin,SGF,GK,32,143,5,13.51%,35,32.71,72,43.11,19,30.16,10,25.00,2,8.33,-
22,Zecher Finn,TBV,GK,34,140,6,13.04%,38,21.84,65,41.40,14,22.22,15,16.13,2,4.26,-
23,Pesic Ivan,TVB,GK,22,138,9,21.43%,34,18.28,48,42.11,18,21.95,22,27.16,7,13.73,1
24,Jensen Mike,SCM,GK,34,135,13,23.21%,26,26.26,48,43.24,24,33.80,19,28.36,5,17.24,3
25,Kastelic Urh,FAG,GK,28,121,7,16.67%,32,23.19,43,43.43,11,18.64,13,21.31,6,15.00,1
26,Thulin Tobias Alexander Gustav,TVB,GK,28,120,7,17.50%,20,16.26,48,44.04,22,29.73,14,19.72,8,13.33,-
27,Asheim Havard,NLB,GK,32,120,8,15.38%,22,21.36,41,36.61,38,31.40,6,9.84,5,8.20,-
28,Suljakovic Anadin,WET,GK,28,109,5,13.51%,29,27.36,37,45.68,26,39.39,2,6.06,9,21.43,1
29,Ziemer Martin,HCE,GK,28,100,11,20.37%,26,26.80,33,32.67,15,22.73,10,15.15,4,12.90,-
30,Sejr Jensen Simon,HBW,GK,33,99,13,25.00%,25,21.55,35,34.31,14,25.45,7,14.00,5,11.11,1
31,Katsigiannis Nikolas,RNL,GK,23,84,4,19.05%,21,20.19,34,46.58,11,28.21,10,21.28,4,9.76,1
32,Vortmann Jens,HSV,GK,30,76,6,15.00%,29,30.53,14,25.93,13,27.66,9,23.08,5,23.81,-
33,Palicka Andreas,RNL,GK,11,74,2,10.00%,24,26.37,21,33.33,12,27.27,6,15.38,6,17.65,1
34,El-Tayar Mohamed Essam Moustafa,LEI,GK,16,67,6,22.22%,14,25.45,23,33.82,11,34.38,12,27.91,1,4.55,1
35,Appelgren Mikael,RNL,GK,13,66,0,0.00%,19,40.43,26,50.00,9,36.00,7,16.67,5,19.23,-
36,Quenstedt Dario,THW,GK,33,62,4,15.38%,9,18.75,32,37.65,8,16.67,8,16.33,-,-,-
37,Lichtlein Carsten,GWD,GK,34,48,5,10.00%,9,15.52,17,34.00,9,20.00,4,18.18,4,16.67,-
38,Vujovic Miljan,TVB,GK,13,35,5,21.74%,8,17.78,9,40.91,8,23.53,5,16.13,-,-,-
39,Komok Gennadiy,WET,GK,9,30,3,23.08%,5,17.24,7,36.84,7,33.33,6,35.29,1,10.00,-
40,Sonne-Hansen Kim,HCE,GK,9,29,0,0.00%,7,24.14,10,33.33,7,29.17,4,33.33,1,20.00,-
41,Prost Primoz,TVB,GK,12,26,3,15.00%,5,11.90,11,37.93,5,29.41,2,13.33,-,-,-
42,Genz Fredrik,BER,GK,31,15,2,18.18%,2,15.38,5,16.13,2,25.00,3,21.43,1,12.50,-
43,Spath David,RNL,GK,9,12,1,14.29%,4,30.77,4,40.00,3,30.00,-,-,-,-,-
44,Maier Jonas,HSV,GK,3,10,1,33.33%,5,27.78,3,33.33,1,16.67,-,-,-,-,-
45,Grupe Mats,RNL,GK,5,9,0,0.00%,3,23.08,4,50.00,-,-,2,40.00,-,-,-
46,Klein Sebastian,FAG,GK,8,5,1,16.67%,1,50.00,3,30.00,-,-,-,-,-,-,-
47,Saggau Philip Hartwig,THW,GK,5,5,0,0.00%,-,-,3,37.50,-,-,2,-,-,-,-
48,Grabitz Lucas,GWD,GK,2,4,1,25.00%,1,20.00,1,50.00,-,-,-,-,1,-,-
49,Hassferter Michael,HCE,GK,3,3,0,0.00%,1,16.67,1,25.00,-,-,1,50.00,-,-,-
50,Boieck Janis,HCE,GK,1,2,-,-,-,-,1,33.33,1,-,-,-,-,-,-
51,Ludwig Lasse,BER,GK,3,2,0,0.00%,1,33.33,-,-,-,-,1,33.33,-,-,-
52,Buchele Julian,FAG,GK,3,2,0,0.00%,-,-,1,-,1,-,-,-,-,-,-
53,Backhaus Theodor Felix,SGF,GK,5,2,0,0.00%,-,-,1,25.00,-,-,1,50.00,-,-,-
