POS Position,Name,Team,Position,P Played,S Saves,S 7M saves,% 7M save accuracy,S Full back - Saves,% Full back - Save accuracy,P Centre back - Saves,% Centre back - Save accuracy,S Wing - Saves,% Wing - Save accuracy,S Pivot - Saves,% Pivot - Save accuracy,S Fast breaks - Saves,% Fast breaks - Save accuracy,G Goals
54,Muhlenstadt Timon,TBV,GK,5,1,0,0.00%,-,-,-,-,-,-,-,-,1,-,-
55,Pinski Alexander,HSV,GK,1,1,-,-,1,-,-,-,-,-,-,-,-,-,-
57,Ritschel Matthias,HAN,GK,7,-,0,0.00%,-,-,-,-,-,-,-,-,-,-,-
58,Simonsen Christian Ole,LEI,GK,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
59,Baranasic Filip,HBW,GK,2,-,0,0.00%,-,-,-,-,-,-,-,-,-,-,-
60,Wernlein Felix,HAN,GK,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-
61,Klama Joonas,BHC,GK,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-
62,Scheiner Joshua,TVB,GK,1,-,0,0.00%,-,-,-,-,-,-,-,-,-,-,-
63,Wollert Ben,NLB,GK,2,-,0,0.00%,-,-,-,-,-,-,-,-,-,-,-
64,Grundel Finn Luca,HSV,GK,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
65,Bendiks Bo Asmuss,SGF,GK,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
